Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 11:09:16,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",1,2.04,11.7%,88.3%,16,8,15.58,2.02,0.85,12.71,5.46%,12.97%,81.57%,8188.0,2814.41,17.23,5356.36,0.21%,34.37%,65.42%,47
2026-06-01 11:09:20,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",2,1.95,6.5%,93.5%,16,1,15.58,2.03,0.85,12.7,5.46%,13.03%,81.51%,8188.0,2797.34,17.23,5373.43,0.21%,34.16%,65.63%,47
2026-06-01 11:09:22,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",3,1.95,6.5%,93.5%,16,1,15.58,2.03,0.85,12.7,5.46%,13.03%,81.51%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:24,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",4,2.0,7.1%,92.9%,16,2,15.58,2.02,0.85,12.71,5.46%,12.97%,81.57%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:26,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",5,1.98,6.5%,93.5%,16,2,15.58,2.02,0.85,12.71,5.46%,12.97%,81.57%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:28,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",6,2.01,6.8%,93.2%,16,1,15.58,2.03,0.85,12.7,5.46%,13.03%,81.51%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:31,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",7,1.97,6.5%,93.5%,16,1,15.58,2.03,0.85,12.7,5.46%,13.03%,81.51%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:33,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",8,1.98,6.4%,93.6%,16,1,15.58,2.03,0.85,12.7,5.46%,13.03%,81.51%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:35,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",9,1.99,6.4%,93.6%,16,1,15.58,2.02,0.85,12.71,5.46%,12.97%,81.57%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
2026-06-01 11:09:37,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",10,1.99,6.9%,93.1%,16,1,15.58,2.02,0.85,12.71,5.46%,12.97%,81.57%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,46
2026-06-01 11:09:39,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS,"20,753",11,1.98,6.5%,93.5%,16,1,15.58,2.02,0.85,12.71,5.46%,12.97%,81.57%,8188.0,2797.59,17.23,5373.18,0.21%,34.17%,65.62%,47
