Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 19:53:16,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",1,2.08,8.9%,91.1%,16,2,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2856.6,17.71,5313.69,0.22%,34.89%,64.89%,44
2026-06-01 19:53:20,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",2,1.99,7.7%,92.3%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2819.31,17.71,5350.98,0.22%,34.43%,65.35%,45
2026-06-01 19:53:22,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",3,1.9,6.5%,93.5%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2815.13,17.71,5355.16,0.22%,34.38%,65.4%,46
2026-06-01 19:53:24,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",4,1.9,6.8%,93.2%,16,2,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2815.13,17.71,5355.16,0.22%,34.38%,65.4%,45
2026-06-01 19:53:26,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",5,1.97,6.6%,93.4%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2815.13,17.71,5355.16,0.22%,34.38%,65.4%,45
2026-06-01 19:53:28,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",6,1.94,6.6%,93.4%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2815.13,17.71,5355.16,0.22%,34.38%,65.4%,45
2026-06-01 19:53:31,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",7,1.94,7.0%,93.0%,16,2,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2815.12,17.72,5355.16,0.22%,34.38%,65.4%,45
2026-06-01 19:53:33,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",8,1.96,6.5%,93.5%,16,2,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:35,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",9,1.94,6.5%,93.5%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:37,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",10,1.95,6.4%,93.6%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2807.05,17.72,5363.23,0.22%,34.28%,65.5%,44
2026-06-01 19:53:39,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",11,1.95,6.5%,93.5%,16,2,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2807.05,17.72,5363.23,0.22%,34.28%,65.5%,44
2026-06-01 19:53:43,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",12,1.94,6.5%,93.5%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:45,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",13,1.93,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:47,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",14,1.94,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:49,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",15,1.92,6.5%,93.5%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:51,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",16,1.93,7.0%,93.0%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.99,17.72,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:54,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",17,1.9,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2816.98,17.73,5353.29,0.22%,34.4%,65.38%,44
2026-06-01 19:53:56,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",18,1.95,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2824.36,17.73,5345.91,0.22%,34.49%,65.29%,44
2026-06-01 19:53:58,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",19,1.92,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2827.48,17.73,5342.79,0.22%,34.53%,65.25%,46
2026-06-01 19:54:00,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",20,1.96,6.8%,93.2%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2823.23,17.73,5347.04,0.22%,34.48%,65.3%,45
2026-06-01 19:54:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",21,1.96,6.3%,93.7%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2823.23,17.73,5347.04,0.22%,34.48%,65.3%,45
2026-06-01 19:54:06,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",22,1.98,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2869.52,17.73,5300.75,0.22%,35.05%,64.73%,46
2026-06-01 19:54:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",23,1.96,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2836.64,17.73,5333.63,0.22%,34.64%,65.14%,46
2026-06-01 19:54:10,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",24,1.94,6.5%,93.5%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2834.86,17.73,5335.41,0.22%,34.62%,65.16%,45
2026-06-01 19:54:12,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",25,1.93,6.8%,93.2%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2844.79,17.73,5325.48,0.22%,34.74%,65.04%,45
2026-06-01 19:54:14,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",26,1.96,6.4%,93.6%,16,1,15.58,1.95,0.85,12.78,5.46%,12.52%,82.02%,8188.0,2846.36,17.73,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:17,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",27,1.96,6.5%,93.5%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.36,17.73,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",28,1.93,6.4%,93.6%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.61,17.73,5323.66,0.22%,34.77%,65.01%,45
2026-06-01 19:54:21,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",29,1.98,7.5%,92.5%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.36,17.73,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:23,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",30,1.94,6.6%,93.4%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.36,17.73,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:25,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",31,1.96,6.5%,93.5%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.36,17.73,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:29,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",32,1.99,6.4%,93.6%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:31,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",33,1.95,6.8%,93.2%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:33,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",34,1.92,6.5%,93.5%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:35,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",35,1.92,6.5%,93.5%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:37,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",36,1.94,6.4%,93.6%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2836.41,17.74,5333.85,0.22%,34.64%,65.14%,45
2026-06-01 19:54:40,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",37,1.97,6.9%,93.1%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2836.41,17.74,5333.85,0.22%,34.64%,65.14%,45
2026-06-01 19:54:42,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",38,1.94,6.5%,93.5%,16,2,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:44,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",39,1.96,6.4%,93.6%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
2026-06-01 19:54:46,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher16_PEDS_m3,"20,753",40,1.93,6.5%,93.5%,16,1,15.58,1.94,0.85,12.79,5.46%,12.45%,82.09%,8188.0,2846.35,17.74,5323.91,0.22%,34.76%,65.02%,45
