Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",1,0.03,6.8%,93.2%,16,3,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2602.65,17.93,5567.42,0.22%,31.79%,67.99%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",2,0.03,6.7%,93.3%,16,2,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2602.65,17.93,5567.42,0.22%,31.79%,67.99%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",3,0.03,13.7%,86.3%,16,6,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2601.02,17.93,5569.05,0.22%,31.77%,68.01%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",4,0.03,11.5%,88.5%,16,6,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2601.02,17.93,5569.05,0.22%,31.77%,68.01%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",5,0.04,22.8%,77.2%,16,9,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2601.02,17.93,5569.05,0.22%,31.77%,68.01%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",6,0.03,12.8%,87.2%,16,5,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2601.02,17.93,5569.05,0.22%,31.77%,68.01%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",7,0.03,11.3%,88.7%,16,3,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2601.01,17.94,5569.05,0.22%,31.77%,68.01%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",8,0.03,8.2%,91.8%,16,3,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2608.26,17.94,5561.8,0.22%,31.85%,67.93%,44
2026-06-01 20:48:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",9,0.03,9.1%,90.9%,16,2,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2608.26,17.94,5561.8,0.22%,31.85%,67.93%,44
2026-06-01 20:48:03,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_NNonly_m2,"23,091",10,0.03,7.0%,93.0%,16,2,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2608.26,17.94,5561.8,0.22%,31.85%,67.93%,44
