Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 11:01:07,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",1,0.08,3.1%,96.9%,16,1,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2929.33,17.39,5241.28,0.21%,35.78%,64.01%,48
2026-06-01 11:01:07,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",2,0.03,4.9%,95.1%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2929.32,17.4,5241.28,0.21%,35.78%,64.01%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",3,0.03,6.8%,93.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2929.32,17.4,5241.28,0.21%,35.78%,64.01%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",4,0.03,8.5%,91.5%,16,3,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2929.32,17.4,5241.28,0.21%,35.78%,64.01%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",5,0.03,13.0%,87.0%,16,6,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2944.26,17.4,5226.34,0.21%,35.96%,63.83%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",6,0.03,6.7%,93.3%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.39,17.4,5202.21,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",7,0.03,8.9%,91.1%,16,1,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",8,0.03,4.7%,95.3%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",9,0.03,4.8%,95.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",10,0.03,8.9%,91.1%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",11,0.03,4.9%,95.1%,16,1,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",12,0.03,2.4%,97.6%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",13,0.03,7.0%,93.0%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",14,0.03,6.8%,93.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",15,0.03,4.8%,95.2%,16,1,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",16,0.03,8.7%,91.3%,16,1,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",17,0.03,4.7%,95.3%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",18,0.03,6.8%,93.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",19,0.03,7.0%,93.0%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",20,0.03,6.8%,93.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",21,0.03,4.8%,95.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",22,0.03,4.8%,95.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",23,0.03,9.1%,90.9%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",24,0.03,4.7%,95.3%,16,1,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.27,17.4,5202.33,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",25,0.03,6.8%,93.2%,16,2,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.39,17.4,5202.21,0.21%,36.25%,63.54%,48
2026-06-01 11:01:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier16_NNonly,"20,769",26,0.03,8.7%,91.3%,16,3,15.58,2.01,0.81,12.76,5.2%,12.9%,81.9%,8188.0,2968.39,17.4,5202.21,0.21%,36.25%,63.54%,48
