Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",1,0.03,7.0%,93.0%,16,2,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.8,18.09,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",2,0.03,4.8%,95.2%,16,2,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.8,18.09,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",3,0.03,7.1%,92.9%,16,1,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.8,18.09,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",4,0.03,4.8%,95.2%,16,2,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.8,18.09,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",5,0.03,7.3%,92.7%,16,2,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.8,18.09,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",6,0.03,7.1%,92.9%,16,2,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.8,18.09,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",7,0.03,7.0%,93.0%,16,2,15.58,1.92,0.85,12.81,5.46%,12.32%,82.22%,8188.0,2906.79,18.1,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",8,0.03,8.5%,91.5%,16,5,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2906.79,18.1,5263.11,0.22%,35.5%,64.28%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",9,0.03,6.8%,93.2%,16,2,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",10,0.03,4.9%,95.1%,16,2,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",11,0.03,7.1%,92.9%,16,1,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",12,0.03,11.6%,88.4%,16,5,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",13,0.03,4.8%,95.2%,16,1,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",14,0.03,4.9%,95.1%,16,2,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",15,0.03,9.3%,90.7%,16,3,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",16,0.03,7.1%,92.9%,16,1,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.79,18.1,5246.11,0.22%,35.71%,64.07%,48
2026-06-01 19:29:50,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_NNonly_m3,"23,091",17,0.03,7.1%,92.9%,16,3,15.58,1.93,0.85,12.8,5.46%,12.39%,82.15%,8188.0,2923.78,18.11,5246.11,0.22%,35.71%,64.07%,48
