Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 01:43:59,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",1,2.01,11.6%,88.4%,16,9,15.58,1.77,0.83,12.98,5.33%,11.36%,83.31%,8188.0,2889.23,17.61,5281.16,0.22%,35.29%,64.49%,43
2026-06-01 01:44:03,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",2,1.94,6.4%,93.6%,16,1,15.58,1.77,0.83,12.98,5.33%,11.36%,83.31%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:05,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",3,1.92,6.4%,93.6%,16,1,15.58,1.77,0.83,12.98,5.33%,11.36%,83.31%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:07,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",4,1.94,6.4%,93.6%,16,2,15.58,1.77,0.83,12.98,5.33%,11.36%,83.31%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:09,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",5,1.97,7.1%,92.9%,16,1,15.58,1.77,0.83,12.98,5.33%,11.36%,83.31%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:11,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",6,2.01,6.7%,93.3%,16,1,15.58,1.77,0.83,12.98,5.33%,11.36%,83.31%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:14,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",7,1.93,6.8%,93.2%,16,1,15.58,1.78,0.83,12.97,5.33%,11.42%,83.25%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:16,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",8,1.93,6.5%,93.5%,16,1,15.58,1.78,0.83,12.97,5.33%,11.42%,83.25%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:18,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",9,1.95,7.7%,92.3%,16,1,15.58,1.78,0.83,12.97,5.33%,11.42%,83.25%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
2026-06-01 01:44:20,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fourier25_PEDS,"23,066",10,1.95,6.6%,93.4%,16,1,15.58,1.78,0.83,12.97,5.33%,11.42%,83.25%,8188.0,2845.6,17.61,5324.79,0.22%,34.75%,65.03%,43
