Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 02:07:44,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",1,11.06,54.5%,45.5%,16,16,15.58,1.91,1.02,12.65,6.55%,12.26%,81.19%,8188.0,2905.79,29.05,5253.16,0.35%,35.49%,64.16%,43
2026-06-01 02:07:56,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",2,10.74,55.6%,44.4%,16,16,15.58,1.92,1.02,12.64,6.55%,12.32%,81.13%,8188.0,2914.35,29.05,5244.6,0.35%,35.59%,64.06%,43
2026-06-01 02:08:08,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",3,10.95,55.4%,44.6%,16,16,15.58,1.91,1.03,12.64,6.61%,12.26%,81.13%,8188.0,2903.6,29.06,5255.34,0.35%,35.46%,64.19%,44
2026-06-01 02:08:20,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",4,10.78,56.1%,43.9%,16,16,15.58,1.94,1.03,12.61,6.61%,12.45%,80.94%,8188.0,2876.72,29.06,5282.22,0.35%,35.13%,64.52%,43
2026-06-01 02:08:32,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",5,10.65,56.1%,43.9%,16,16,15.58,1.94,1.03,12.61,6.61%,12.45%,80.94%,8188.0,2934.79,29.06,5224.15,0.35%,35.84%,63.81%,45
2026-06-01 02:08:44,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",6,10.73,56.1%,43.9%,16,16,15.58,1.94,1.03,12.61,6.61%,12.45%,80.94%,8188.0,2891.28,29.06,5267.66,0.35%,35.31%,64.34%,43
2026-06-01 02:08:57,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",7,11.22,54.2%,45.8%,16,16,15.58,1.95,1.03,12.6,6.61%,12.52%,80.87%,8188.0,2902.09,29.06,5256.85,0.35%,35.44%,64.21%,43
2026-06-01 02:09:09,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",8,10.64,55.2%,44.8%,16,16,15.58,1.94,1.03,12.61,6.61%,12.45%,80.94%,8188.0,2895.02,29.07,5263.91,0.36%,35.36%,64.28%,44
2026-06-01 02:09:21,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",9,10.92,55.2%,44.8%,16,16,15.58,1.95,1.03,12.6,6.61%,12.52%,80.87%,8188.0,2889.02,29.07,5269.91,0.36%,35.28%,64.36%,44
2026-06-01 02:09:33,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_PEDS_m0,"765,774",10,10.6,55.4%,44.6%,16,16,15.58,1.95,1.03,12.6,6.61%,12.52%,80.87%,8188.0,2889.02,29.07,5269.91,0.36%,35.28%,64.36%,43
