problem,data,model,model_label,N,seed,test_fe,val_fe,best_epoch,epochs_run,w,n_params
Fourier(16),fourier16,peds,PEDS físico,64,0,0.1034,0.0986,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,1,0.1029,0.0981,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,2,0.1028,0.098,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,3,0.1033,0.0985,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,4,0.1029,0.0981,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,5,0.103,0.0982,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,6,0.1033,0.0985,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,7,0.103,0.0982,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,8,0.1029,0.0981,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,9,0.1032,0.0984,400,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,0,1.295,1.3076,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,1,0.5546,0.5652,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,2,0.3339,0.3376,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,3,0.3321,0.336,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,4,0.6961,0.7008,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,5,0.4382,0.4227,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,6,0.5385,0.5325,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,7,0.6646,0.6573,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,8,0.3261,0.319,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,9,1.2791,1.2725,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,64,0,0.1461,0.1444,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,1,0.1223,0.123,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,2,0.1225,0.1237,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,3,0.1193,0.1193,400,,,20769.0
