problem,model,model_label,N,n_seeds,mean_fe,median_fe,std_fe,q25_fe,q75_fe,mean_best_epoch,mean_w,n_params
Fisher(16),nn_only,NN-only,64,10,0.17237,0.16925,0.007709453071824646,0.16785,0.174925,400.0,,20769.0
Fisher(16),nn_only,NN-only,128,10,0.1523,0.1527,0.0052238768064426025,0.14845,0.15589999999999998,400.0,,20769.0
Fisher(16),nn_only,NN-only,256,10,0.1313,0.13095,0.0032863353450309986,0.1288,0.13405,392.0,,20769.0
Fisher(16),nn_only,NN-only,512,10,0.11112,0.11225,0.005355122158581752,0.111,0.114675,368.0,,20769.0
Fisher(16),nn_only,NN-only,1024,10,0.10303999999999999,0.10445,0.009258293579272589,0.0996,0.109725,324.0,,20769.0
Fisher(16),nn_only,NN-only,2048,10,0.09858,0.09889999999999999,0.010952503518982925,0.097525,0.10777500000000001,234.0,,20769.0
Fisher(16),nn_only,NN-only,4096,10,0.0979,0.10015,0.011430952132988163,0.09225,0.10715,140.0,,20769.0
Fisher(16),peds,PEDS físico,64,10,0.1335,0.1328,0.003020669535789113,0.1316,0.13585,400.0,,20753.0
Fisher(16),peds,PEDS físico,128,10,0.10830999999999999,0.10835,0.004071431634641011,0.10692499999999999,0.110925,400.0,,20753.0
Fisher(16),peds,PEDS físico,256,10,0.08864,0.0884,0.0033290639324991458,0.08802499999999999,0.09,398.0,,20753.0
Fisher(16),peds,PEDS físico,512,10,0.07383,0.07415,0.001271962613007507,0.07265,0.074725,394.0,,20753.0
Fisher(16),peds,PEDS físico,1024,10,0.06824,0.06825,0.0014276632033579358,0.0676,0.06905,394.0,,20753.0
Fisher(16),peds,PEDS físico,2048,10,0.05886,0.0594,0.002051124352912596,0.0579,0.059775,399.0,,20753.0
Fisher(16),peds,PEDS físico,4096,10,0.04889,0.0492,0.0015147056919855208,0.048350000000000004,0.049975,391.0,,20753.0
Fisher(16),peds_afim,PEDS-afim,64,10,0.3257,0.2702,0.12079353367534944,0.258525,0.302475,370.0,,20770.0
Fisher(16),peds_afim,PEDS-afim,128,10,0.25436000000000003,0.2462,0.03781461210813737,0.22535,0.271475,377.0,,20770.0
Fisher(16),peds_afim,PEDS-afim,256,10,0.19685,0.196,0.052726300626706,0.15492499999999998,0.23407499999999998,400.0,,20770.0
Fisher(16),peds_afim,PEDS-afim,512,10,0.1492,0.11035,0.06565553205091625,0.102925,0.20355,399.0,,20770.0
Fisher(16),peds_afim,PEDS-afim,1024,10,0.10737999999999999,0.089,0.03993508065181122,0.08427499999999999,0.111875,395.0,,20770.0
Fisher(16),peds_afim,PEDS-afim,2048,10,0.06738,0.0665,0.0038409489568189837,0.066075,0.068925,399.0,,20770.0
Fisher(16),peds_afim,PEDS-afim,4096,10,0.04641,0.046049999999999994,0.00395318437043691,0.044774999999999995,0.0483,399.0,,20770.0
Fisher(25),nn_only,NN-only,64,10,0.1644,0.1647,0.0074004504367414506,0.1593,0.167625,350.0,,23091.0
Fisher(25),nn_only,NN-only,128,10,0.14765,0.14645,0.007106530642850829,0.142275,0.14965,393.0,,23091.0
Fisher(25),nn_only,NN-only,256,10,0.13507,0.13624999999999998,0.004618092439284623,0.134325,0.1385,372.0,,23091.0
Fisher(25),nn_only,NN-only,512,10,0.12232000000000001,0.1225,0.004641790842145111,0.120125,0.124375,357.0,,23091.0
Fisher(25),nn_only,NN-only,1024,10,0.11899478286504742,0.11778107285499564,0.005291444085171848,0.11531137861311436,0.12344103679060935,254.0,,23091.0
Fisher(25),nn_only,NN-only,2048,10,0.1167840301990509,0.1163589172065258,0.0058149924322007185,0.11233259737491608,0.12102078646421432,151.0,,23091.0
Fisher(25),nn_only,NN-only,4096,10,0.11323728263378144,0.11211792752146721,0.004590996692913547,0.10944382660090923,0.11712113209068775,86.0,,23091.0
Fisher(25),peds,PEDS físico,64,10,0.11326,0.1125,0.0018974837138812147,0.11205,0.1152,399.0,,23066.0
Fisher(25),peds,PEDS físico,128,10,0.10402,0.10400000000000001,0.0038156985671768616,0.1015,0.10675,400.0,,23066.0
Fisher(25),peds,PEDS físico,256,10,0.08644,0.0864,0.0021572616386933176,0.08485,0.0873,400.0,,23066.0
Fisher(25),peds,PEDS físico,512,10,0.07329,0.07305,0.0010969148655306947,0.0729,0.0736,395.0,,23066.0
Fisher(25),peds,PEDS físico,1024,10,0.06981865302801131,0.06945000000000001,0.001045479997282115,0.069325,0.07061760500073427,368.0,0.3665046691894531,23066.0
Fisher(25),peds,PEDS físico,2048,10,0.06497215926647182,0.06537469103932378,0.0011626531229561377,0.06393354572355743,0.06572562456130977,382.0,0.37562727332115176,23066.0
Fisher(25),peds,PEDS físico,4096,10,0.05384999066591263,0.053774816915392876,0.0021109877119706876,0.05272068548947573,0.0546666719019413,394.0,0.415104416012764,23066.0
Fisher(25),peds_afim,PEDS-afim,64,10,0.26154,0.26475,0.029594301253225545,0.23835,0.288825,386.0,,23092.0
Fisher(25),peds_afim,PEDS-afim,128,10,0.22383999999999998,0.2318,0.041411436960230086,0.19315,0.25415,374.0,,23092.0
Fisher(25),peds_afim,PEDS-afim,256,10,0.17188,0.17370000000000002,0.047783628065594934,0.13235,0.20125,400.0,,23092.0
Fisher(25),peds_afim,PEDS-afim,512,10,0.11889000000000001,0.1085,0.03969274912793687,0.09865,0.11815,399.0,,23092.0
Fisher(25),peds_afim,PEDS-afim,1024,10,0.09464500024914738,0.0883915498852729,0.022839541809273372,0.0863394141197204,0.09230396710336206,385.0,0.5314070105552673,23092.0
Fisher(25),peds_afim,PEDS-afim,2048,10,0.07312365174293518,0.07008032500743866,0.008765626446038764,0.06786077283322811,0.07447967119514942,364.0,0.4806674897670746,23092.0
Fisher(25),peds_afim,PEDS-afim,4096,10,0.05353776551783085,0.0531644131988287,0.0037669460944122035,0.05047052539885044,0.05480320658534765,394.0,0.38325426876544955,23092.0
Fourier(16),nn_only,NN-only,64,10,0.13215,0.1306,0.011455542084268399,0.12235,0.13965,398.0,,20769.0
Fourier(16),nn_only,NN-only,128,10,0.12559,0.124,0.009667522950580466,0.11702499999999999,0.131575,399.0,,20769.0
Fourier(16),nn_only,NN-only,256,10,0.10689,0.1049,0.008231302043621852,0.100725,0.10794999999999999,398.0,,20769.0
Fourier(16),nn_only,NN-only,512,10,0.08515,0.08605,0.004895859929005776,0.081125,0.0873,388.0,,20769.0
Fourier(16),nn_only,NN-only,1024,10,0.07628,0.0738,0.01006167646733552,0.069475,0.085125,303.0,,20769.0
Fourier(16),nn_only,NN-only,2048,10,0.07174,0.06870000000000001,0.012434200148515111,0.06505,0.082,254.0,,20769.0
Fourier(16),nn_only,NN-only,4096,10,0.07088,0.0696,0.014307092258348272,0.063525,0.081525,137.0,,20769.0
Fourier(16),peds,PEDS físico,64,10,0.10307,0.103,0.00021108186931983417,0.1029,0.103275,400.0,,20753.0
Fourier(16),peds,PEDS físico,128,10,0.09415,0.09415000000000001,0.00038369548110738075,0.094,0.094275,400.0,,20753.0
